# version = csv_v1.0.0
F7-T3,0.0000,1289.0000,bckg,1.0000
T3-T5,42.2786,81.7760,fnsz,1.0000
T3-T5,81.7760,133.8040,bckg,1.0000
T3-T5,133.8040,162.1105,fnsz,1.0000
T3-T5,162.1105,222.6360,bckg,1.0000
T3-T5,222.6360,245.9400,fnsz,1.0000
T3-T5,245.9400,291.4240,bckg,1.0000
T3-T5,291.4240,316.3560,fnsz,1.0000
T3-T5,316.3560,451.6880,bckg,1.0000
T3-T5,451.6880,479.2920,fnsz,1.0000
T3-T5,479.2920,540.6560,bckg,1.0000
T3-T5,540.6560,565.7720,fnsz,1.0000
T3-T5,565.7720,602.3800,bckg,1.0000
T3-T5,602.3800,630.5080,fnsz,1.0000
T3-T5,630.5080,766.8560,bckg,1.0000
T3-T5,766.8560,785.5760,fnsz,1.0000
T3-T5,785.5760,831.8360,bckg,1.0000
T3-T5,831.8360,850.9760,fnsz,1.0000
T3-T5,850.9760,864.2320,bckg,1.0000
T3-T5,864.2320,894.6360,fnsz,1.0000
T3-T5,894.6360,917.2000,bckg,1.0000
T3-T5,917.2000,926.2746,fnsz,1.0000
T3-T5,926.2746,943.8520,bckg,1.0000
T3-T5,943.8520,961.5600,fnsz,1.0000
T3-T5,961.5600,972.6760,bckg,1.0000
T3-T5,972.6760,997.0360,fnsz,1.0000
T3-T5,997.0360,1039.0120,bckg,1.0000
T3-T5,1039.0120,1057.7200,fnsz,1.0000
T3-T5,1057.7200,1078.7600,bckg,1.0000
T3-T5,1078.7600,1105.6080,fnsz,1.0000
T3-T5,1105.6080,1163.3720,bckg,1.0000
T3-T5,1163.3720,1186.8480,fnsz,1.0000
T3-T5,1186.8480,1274.2360,bckg,1.0000
T3-T5,1274.2360,1285.5720,fnsz,1.0000
T3-T5,1285.5720,1289.0000,bckg,1.0000
T5-O1,246.0400,291.5240,bckg,1.0000
T5-O1,291.5240,316.3560,fnsz,1.0000
T5-O1,479.1920,540.6560,bckg,1.0000
T3-C3,291.6240,316.4560,fnsz,1.0000
T3-C3,316.4560,451.6880,bckg,1.0000
T3-C3,479.3920,540.6560,bckg,1.0000
T3-C3,831.7360,850.8760,fnsz,1.0000
T3-C3,850.8760,864.3320,bckg,1.0000
T3-C3,864.3320,894.6360,fnsz,1.0000
T3-C3,1186.7480,1274.2360,bckg,1.0000
CZ-C4,1163.2720,1186.7480,fnsz,1.0000
FP1-F3,565.6720,602.3800,bckg,1.0000
C3-P3,133.9040,162.1105,fnsz,1.0000
P3-O1,246.1400,291.6240,bckg,1.0000
C4-P4,831.9360,850.8760,fnsz,1.0000
P4-O2,1163.4720,1186.7480,fnsz,1.0000
